Movie Name,Duration,IMdb rating,Rating,Description,Votes,Poster,Month of Release
17. Dada,2h 13m,8.2,5K,"A couple in love, accidentally become teenage parents. Unpleasant situations make them fall apart. Manikandan, left alone with his son, struggles as a single teenage father. Fate owns him, bringing Sindhu back into his life.","5,020","https://m.media-amazon.com/images/M/MV5BNjE0OWNlYjEtNTNlNi00MDBkLTg3MDEtYjYxMWE4MWMyYTRmXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_QL75_UY207_CR13,0,140,207_.jpg",February
18. Vasantha Mullai,1h 48m,5.7,1.5K,"Rudhran, works tirelessly for a successful career and money, embarks on a romantic journey to spend quality time with his girlfriend Nila. On the way, he stays at the Vasantha Mullai Motel which takes him on a roller coaster ride.","1,512","https://m.media-amazon.com/images/M/MV5BZDBkOTEzY2UtOGI3MC00MTg2LTlkMTUtMmNiZTMwNjI2MWQ2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR2,0,140,207_.jpg",February
19. Kasethan Kadavulada,2h 4m,5.2,339,"A young man, his cousin and a friend stealing money from his stingy stepmother.",339,"https://m.media-amazon.com/images/M/MV5BZGJiNjhkNTItMzIxNS00ZDAzLTg1YWItMjc4MjU1NDc0NTUxXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_QL75_UY207_CR137,0,140,207_.jpg",February
20. Kodai,2h 16m,9,250,A gang robs a large donation to an orphanage for needy children and how do the protagonist and his friends recover from the disaster? and the struggle which takes a dangerous twists and turn from which they recover the lost gift?,250,"https://m.media-amazon.com/images/M/MV5BMDQ2MzBkNjItOWRhYy00YTc1LWEzMmUtNjliMmY3MzczZTM0XkEyXkFqcGdeQXVyMTU3Nzk4NjM3._V1_QL75_UY207_CR3,0,140,207_.jpg",February
21. Miratchi,,,,,,"https://m.media-amazon.com/images/M/MV5BYjkwYjhlM2UtOWE4OC00NTUzLThkMzQtZjgwMjdhN2UwNzJkXkEyXkFqcGdeQXVyMTYyMzE1Nzc0._V1_QL75_UY207_CR81,0,140,207_.jpg",February
22. Vaathi,2h 19m,7.3,9.5K,The life of a young man and his struggles against the privatization of education.,"9,508","https://m.media-amazon.com/images/M/MV5BOTA0OTkxZjEtNTgwZC00NDgwLTljNDAtODhlMDBmMzU0N2EzXkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_QL75_UY207_CR3,0,140,207_.jpg",February
23. Bakasuran,2h 35m,6.3,1.2K,"It centers on cyber harassment, and the importance of parents being made aware of their children's problems.","1,207","https://m.media-amazon.com/images/M/MV5BN2M0NzZkZTQtMDVkMy00MjZhLWE2YmYtYTQ1NmIyMjI5YzI0XkEyXkFqcGdeQXVyMjMwODI3NDE@._V1_QL75_UX140_CR0,9,140,207_.jpg",February
24. Single Shankarum Smartphone Simranum,2h 8m,4.5,261,A frustrated food delivery boy gets a super intelligent AI phone which has all the emotions of a girl. It changes his life completely when it starts falling in love with him,261,"https://m.media-amazon.com/images/M/MV5BMWQ3ZmNmYjQtZmI3OS00ZTdlLTk0YWUtYjZjMzc1YWYzNjZiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR13,0,140,207_.jpg",February
25. Shortcut,,,,"How to become a millionaire within 24 hours, without a single rupee.It's one day game.",,"https://m.media-amazon.com/images/M/MV5BMWU0MTM5NWItMzgzNC00MjllLTk2M2UtYjk0Yzg2OGQxMDBjXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UY207_CR5,0,140,207_.jpg",February
26. Kuttram Purindhaal,,,,A youngster who is forced to take law in his hands after his family gets killed.,,"https://m.media-amazon.com/images/M/MV5BNTViN2IyOWQtYTNjMC00MGFkLWE0OTEtNTc2MDc5NzA1YzgzXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UY207_CR12,0,140,207_.jpg",February
27. Koduvaa,,,,,,"https://m.media-amazon.com/images/M/MV5BNTZjZGM3NWUtZTliZC00Mzc0LWJkYmMtN2VkMTI2NDcyNTJhXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UX140_CR0,0,140,207_.jpg",February
28. Black n White,,,,"Siblings Rishi and Ritu lose their parents to COVID-19 and their home due to debt. Despite sincere efforts, their struggle to reclaim their home forms the heart of the narrative.",,"https://m.media-amazon.com/images/M/MV5BNDA2OWQ5MzUtYTEwYy00OWY3LWJiODEtMDljYjBhZTdmMDc5XkEyXkFqcGdeQXVyMjA1MTA2NjY@._V1_QL75_UY207_CR13,0,140,207_.jpg",March
29. Bagheera,2h 10m,3.3,430,"Revolves around a psycho killer who has an aversion towards women, thanks to some of the heinous experiences he faced in his life.",430,"https://m.media-amazon.com/images/M/MV5BZDYyNGRjYzAtZmUwOC00NTIwLTg5YTAtZWY2MmRjNWFlYzBkXkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR7,0,140,207_.jpg",March
30. Ayodhi,2h 1m,8.3,3.2K,"On their journey to Rameswaram, a family from North India gets involved in a series of mishaps until a stranger decides to help them out","3,188","https://m.media-amazon.com/images/M/MV5BNGU4NWExYjktYzRiNy00ZWU4LTkxZDAtOTQ4N2RlZDQ3Yjc4XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UX140_CR0,21,140,207_.jpg",March
31. Pallu Padama Paathuka,1h 42m,2.9,146,"Five youngsters who decide to commit suicide enter an abandoned forest are swarmed by a troop of zombies. Fearing for their lives, the hero tries to escape the attack and save his love interest from a dangerous zombie monster.",146,"https://m.media-amazon.com/images/M/MV5BODRjNDNkY2YtMDkwOC00YTNmLTlkYmMtOWJkY2NmYjU4NTRkXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_QL75_UY207_CR3,0,140,207_.jpg",March
32. Ariyavan,,6.3,676,"The movie is based on the subject of woman empowerment, it's based on real incidents about how girls get caught by cheaters, blackmailed and used, the movies shows how girls should handle such situation and protect themselves.",676,"https://m.media-amazon.com/images/M/MV5BMjZkNWU2YzEtMTJkMS00OThiLWE0MjQtODZjNzgwZjY5ZTI2XkEyXkFqcGdeQXVyMTE0MzY4MzA4._V1_QL75_UX140_CR0,1,140,207_.jpg",March
